cleaned_text,label
soda kue campur madu sembuh kanker soda kue madu kanker lenyap,1
foto mobil esemka bahan dasar kayu grup tinggalin dlu pokus pilkada solo,1
suara sumbang korona harus penjara suara sumbang korona harus penjara kompas tv ros live agustus wib simak,1
video doa imam masjidil haram mekah assyeikh suda musibah virus corona doa assyeikh suda imam masjidil haram mekah musibah virus corona landa umat mari aamiin doa sama sebar,1
presiden israel ancam indonesia jadi indonesia palestina viral presiden israel ancam indonesia,1
info mutih surat izin kemudi april mutih sim mati gol ab c polwil laku tanggal desember sd januari tolong bantu share ya milik sim mati baru menggulang tes laku indonesia,1
tulis cocacola hina nabi muhammad gambar grafis logo cocacola balik bahasa arab  la mohammad la mecca  no muhammad no makkah,1
krupuk babi ber label halal tugas wapres apasih,1
foto perempuan jilbab aksi bela islam bawa poster ahok lawan foto perempuan jilbab aksi bela islam bawa poster  ahok lawan ,1
foto biksu burma bakar anakanak ga foto biksu burma saverohingya,1
denda rp ribu razia masker tanggal juni woro  woro assalamu  alaikum wr wb mohon ijin masyarakat senin besok tgl juni pemda kendal laksana razia pakai masker dlm rangka laksana protokol sehat guna jln raya skala camat langgar kena sangsi sosial,1
dr tompi jg sen box bu dr tompi jg sen box bu,1
terima mahasiswa ui jalur mtq talent assalamu  alaikum yg anak adik ponakan saudara kelas sma yg hafidz juz yg masuk ui ui qur  an center nyari calon mahasiswa yg rekomendasi rektor masuk jalur khusus mtq talent kalo sila hubung sdri haifa terima kasih,1
bahaya makan anak kinder joy sebab kanker stop makan kinderjoy,1
tangkap sangka teroris temu bom bekas usaha alih isu tangkap sangka teroris temu bom bekas usaha alih isu,0
anies baswedan bantah sudirman said wakil gubernur dki jakarta ban tulis kemarin kirim teks langsung pemrednya tulis salah media fiktif  gubernur dki jakarta anies baswedan selasa,0
tempel jabat helm proyek aniessandi tempel jabat helm proyek aniessandi,1
akun instagram pinjam online ojk otoritas jasa uang butuh dana cepat modal usaha jt sd jt,0
obat virus corona temu bahan lemon teh hangat orang arab palestina santai virus palestina orang minum gelas air panas campur lemon malam bukti bunuh virussubhanallah bagi keluarga teman mudah infeksi virus,1
tim olimpiade sains nasional jabar lantar riau wakil jawa barat olimpiade sains nasional pekanbaru antar bandara pakai angkot uang saku ribu orang ribu kalo anakanak juara olimpiade sains ribut nampang muka aku berkat jasa perintah jawa barat anggap sains peduli setan aset bangsayang bangun masjid trilyun selesai do  a lupa makan sosis minum gambar badaknyaaa ,0
hut garuda indonesia bagibagi tiket gratis raya ulang tiket pesawat gratis,1
nikah gratis hotel trans bandung nikah gratis hotel trans bandung tgl nopember pasang pengantin fasilitas mas kawin rrias pengantin bbiaya daftar nikah kuauang saku jamu hidang rp porsi biaya tanggung tabarru dr kuwaitbagi yg minat daftar masjid trans studio jl gatot subroto bdg dg bawa fotocopy ktp kk hubung bpk h maman tolong sebar barangkali sanak saudara tetangga yg butuh jazakumulloh khoiron katsir,1
foto gubernur dki jakarta hilang kisruh ppdb jakarta hilang gubernur dki konpers mulu dadak mana kisruh ppdb dki cari ribu orang tua siswa muncul,1
artikel akal pendek obral aset bangsa tulis akbar faisal anggota dpr ri fraksi partai nasdem gila bandara soekarnohatta ikon bangga pintu gerbang indonesia lego,0
jalan layang tendean ciledug rusak kepala dinas bina marga dki jakarta yusmada fizal  istilah reta viral whatsapp keliru garis reta celah sambung delatasi ,0
atlet karate jilbab larang tanding kompetisi karate sejatim mayoritas minoritas jumat desember magetan aulia ikut lomba karate sejatim gor magetan siswi smpit harap umat ngawi kena sabuk biru aulia siswa jilbab jelang tanding juri periksa calon serta juri serta buka jilbab,0
video demo tka china morowali fakta rakyat cemburu marah rakyat butuh kerja perintah biar jadi,1
liput media acara diskusi publik mafindo mitigasi hoaks covid mafindo hoax corona bahaya virus,0
kominfo bantah bocor anggar asi games rp juta asi games nyata saudara jajang nurjaman potensi rugi negara banding harga tawar pt indoad pt bee work pariwara relevan  plt kepala biro humas kominfo noor iza selasa,0
konvoi mobil militan isis hujan bom pesawat tempur iraq konvoi mobil militan isis hujan bom pesawat tempur iraq,1
gambar judul artikel judul sewa va kader pks kualitas kader partai bas islam,1
istana lock down daerah kepala daerah atur kena sanksi istana lock down daerah kepala daerah atur kena sanksi tegur hukum indispliner presiden tegur keras kepala daerah,0
donald trump umum roche medical company luncur vaksin covid juta dosis minggu vaksin virus corona trump umum roche medical company luncur vaksin minggu juta dosis main selesai now direct announced that roche medical company will launch the vaccine next sunday and millions of doses are ready from it the end of the play ,1
jonru ginting vonis denda m sidang praperadilan jon riah ukur alias jonru komentar netizien sidang langsung pon dukung kewalahan wakil kejat dki mohon bawa surat kuasa,1
temu listrik naufal rizky peduli jokowi peduli jokowi brunei turki rebut bocah aceh dunia,1
uang nkri edisi hasil palsu heboh genap tahun uang nkri edisi hasil palsu ciricirinya,1
foto jokowi sih apa laku salah mata sih apa laku salah mata,1
desain interior langitlangit bandara kertajati lambang iluminati bandar udarah internasional jawa barat kertajati ada sama lambang dajjal maaf bentuk waspada zaman,0
lowong kerja bank bni bank bni buka lowong kerja kualifikasi,1
adidas tawar sepatu gratis tshirt masker wow adidas tawar sepatu gratis tshirt masker orang dapat milik gratis,1
habibie donor mata anak thareq habibie donor mata anak thareq,1
prabowo tuju hasil quick count pilpres ucap selamat jokowi prabowo subianto ucap selamat jokowi temu rumah sumitro,1
salah akibat efek sebar informasi benar salah akibat efek sebar informasi benar,1
tuduh konspirasi pistol pakai teroris bom sarinah senjata pakai teroris sarinah tuduh asal militer perintah,1
tangkap layar hasil sunting berita kompas bawaslu lolos caleg eks koruptor orangorang bawaslu dimatamatai jam gelagat keri,0
festival durian klaten jawa ribu makan durian puas on the spot lokasi festival khawatir habis stok durian limpah ruah unjung belah duriah siaga tugas stand visitklaten ayomakanduren,1
sunita williams wanita india pergi mualaf astronot wanita mu  alaf,1
ratus ribu tahan satu aktivis islam bebas wabah covid jahat bebas jahat begal manamencari sempat covid ratus ribu tahan aneka jahat satu aktivis islam bebas,1
ahok niat bangun masjid naik haji marbut ahok niat bangun masjid naik haji marbut,0
selebaran waspada culik edar medsos isu culi rebak masyarakat jejaring media sosial medsos sebar selebaran mengatasnamakan institus polri,0
satgas covid kabupaten pangkep semprot jemaah shalat tarawih masjid sp tanggung in shalat semprot area sanrangan adkabar shalat semprot ad kbijakan slesai shalat bru semprot in shalat semprot,1
kabar kini india landa badai tornado kabar kini india landa badai tornado azab allah nyata,1
bill gates cuit idul adha akun twitternya tweet benci muslim yg sembelih hewan juta hewan bunuh kfc mcdonalds burger king dll makan orangorang kaya oleh buanyak uang daripada ied umat muslim kurban makan orangorang miskin gratis hilang akal sehat,0
sindir jokowi hotman paris prabowo rebut tanah asing sindir jokowi hotman paris prabowo rebut tanah asing,1
laku culi anak anak bunuh mayat jadi tumbal jembatan  laku culi anak anak bunuh mayat jadi tumbal jembatan tolong bagi postingan teman teman keluarga yg luang detik komen aamiin moga keluarga saudara saudara jauh jahat culik anak anak aamiin klik bagi selamat nyawa ribu anak ,1
terap ganjil genap motor juli dishub dki jakarta kaji skema ganjil genap sepeda motor,1
jelas lengkap kait miftahul jannah diskualifikasi asi games hijab jelas lengkap kait miftahul jannah diskualifikasi asi games hijab,0
astaghfirullah lanjur makan mie samyang astaghfirullah lanjur makan mie samyang,1
viral uang nasabah raib bas juta bri tanggap corporate secretary bri bambang tribaroto  bri hubung nita yuliastuti klarifikasi mohon maaf hasil selesai pemngaduan ,1
ragu jokowi alumni ugm jokowi alumnus gajah mada gajah duduk gajah nungging gajah mungkur teman angkat teman angkat jokowi mati jokowi mahasiswa tunggal ya,1
era jokowi ahok jamur psk cina jakarta raup rp miliarbulan era jokowi  ahok jamur psk cina jakarta raup rp miliarbulan,0
ellen degeneres bagi bantu virus corona facebook my name  ellen degeneres  because bronze corona virus i want to help facebook first user members  tell me how much money do you need now choose the first letter of your name and you will receive a gift of your choice,1
korlap fpi banjir jakarta air mata malaikat jatuh malaikat haru alumni sholat massal monas korlap fpi banjir jakarta air mata malaikat jatuh malaikat haru alumni sholat massal monas ,0
polri luncur aplikasi polisi markas polisi republik indonesia divisi teknologi informasi div ti polri luncur aplikasi bas android ios nama  polisi  aplikasi tanam smartphone android ios apple phone tuju mudah layan polri,0
syiah usaha bakar kabah kabar baru saudara yg saudiada usaha bakar ka  bah syiah iran bensin shalat subuhalhamdulillah ketangkepya allah lindung saudara islam makkah ketik aamiin n share yg doa,1
kpk bantah keluar file bentuk pdf isi namanama calon kepala daerah duga libat korupsi kpk proses calon kepala daerah tegas uu atur wenang kpk memperoses selenggara negara,0
tetap program prioritas bangun tni panglima tni marsekal had tjahjanto panglima tni marsekal had tjahjanto tetap program prioritas bangun tni sebelas program prioritas rangka bangun tni liput ,1
bro boss mayapada kucur dana mill dana sosial bro boss mayapada kucur dana mill dana sosial kegubenur yg dilantikinilah main cantik politik tingkat uang tdk ras,1
obat avigan pes jokowi obat bunuh janin obat bunuh janin beli juta karton rakyat benar nya niat tulus rezim kuasa obat kepenigin genocidepembunuhan massive juta bayi indonesia terus bangsa,1
video rezim paksa kyai utk suntik dgn dalih utk tahan tubuh viruskyai banten tolak cepat lambat program rezim utk ketes covid kyai sudh laku rezim paksa kyai utk suntik dgn dalih utk tahan tubuh viruskyai banten tolak,1
prabowo subianto alami stroke kali putus keluarga prabowo nyapres logis kondisi sehat prabowo fit alami stroke kali stroke pilpres prabowo tdk terima kalah curang habis puluh juta suara palsu,1
patrialis akbar tangkap kpk rumah kos mewah tamansari jakarta barat kpk tangkap patrialis akbar rumah kos mewah,0
maruf amin buzer rp pelihara negara anak lantar fakir miskin pelihara tetangga kuncen surga neraka buzer rp pelihara negara anak lantar fakir miskin pelihara tetangga kuncen surga neraka ma  ruf amin,1
pln bantah informasi tenggat bayar listrik maju tanggal bulan info bln maret bayar tagih pln maju lambat tgl maju tgl bayar tgl sdh kena denda mohon bantu share kpd keluarga tetangga teman indah bagi,1
sandiaga uno ancol orang kaya wakil gubernur dki jakarta sandiaga uno singgung rencana gratis biaya masuk pantai ancol temu manajemen pt jakarta tourisindopt bangun jaya ancol temu khusus bahas sektor pariwisata kota,0
isi nitrogen murni ban mobil untung kendara hati mngisi tekan ban nulis utk mati business pngisian ban pompa bensin gambar yg upload  mngajak poro dulur hati stasiun pngisian nitrogen skrg mnjamur pompa bensin mana dn bbrp tringat ttg isi,1
foto struk beli bahan bakar minyak harga kali lipat mahal selamat pagi sahabat polda papua,0
putus mahkamah konstitusi kait pilkada sampang mohon ijin lapor kamis tanggal agustus wib ruang sidang mahkamah konstitusi ri jl merdeka barat no jakarta pusat laksana sidang,0
bahaya obat bius wanita progesterex edar obat yg nama  progesterex  obat pil yg sterilisasi obat pakai perkosa raya pesta pub discotique raya reuni dsbnya perkosa sterilisasi korban,1
sumber pecah gera tiganti  sumber pecah gera  an tiganti ,1
sandal tulis huruf arab ayat alquran sandal tulis huruf arab ayat alquran,1
kait mistis batu susun rapi sungai cidahu hancur kait mistis batu susun rapi sungai cidahu hancur,1
surat undang doa mengatasnamakan gubernur jawa timur virus covid jawa timur alami peningatansegala upaya cegah tangan laku maksimal karenanyakami ajak doa musibah covid cepat harap hadir bapakibu asuh pesantren sejawa timur rangka giat do  a selenggara,1
akun faizal muhammad tonong rawan aniessandi akun nama faizal muhammad tonong rawan aniessandi tuduh nama ainun najib bobol hacker bobol situs kpu,1
juta produksi rokok papar covid edar luas masyarakat juta produksi rokok papar covid edar luas masyarakat pabrik rokok papar virus corona pabrik rokok sampoerna infeksi covid,1
inggris rusuh akibat lockdown inggris rusuh akibat lockdown rakyat lapar tindak brutal jarah mana isi perut lapar,1
pasien positif corona aceh aceh corona orang trserang sembuh pulang rsaceh no dunia tak biar masjid sepi aceh percaya mati tangan allah swt,1
keluarga mayit tutup tulis tauhid persekusi banser karena banyak persekusi kalimat tauhid banser keluarga mayit tutup tulis tauhid keranda jenazah takut rombong mayit persekusi banser,1
pertamina bantah langka elpiji padang kembang isu langka masyarakat acu data stok harga ecer keliru pertamina jamin stok sedia sesuai het tingkat pangkal ecer distributor resmi elpiji kg jadi patok,0
pasang kakek nenek wafat mek haji innalillahi wa inna illaihi roji  un tinggal mekah suami istri yg pakai kursi roda dorong tdk pisah subhanallah terenyuh hati yaw sungguh besar allah swt,1
sekolah sman rambah hilir riau wajib siswi non muslim pakai jilbab siswi kristen wajib pakai jilbab riau,1
foto ledak dahsyat beirut gudang simpan ton amonium nitrat ledak dahsyat beirut lokasi jadi gudang simpan ton amonium nitrat,1
minum air es cuaca panas alami pecah buluh darah minum air es cuaca panas sebab pecah buluh darah mikro,1
foto ektp milik warga cina cianjur nama guohui chen nyoblos pilpres juta wna china yg siap coblos dlm pilpres nanti pantesan sosialis coblos bahasa mandarin,1
outbreakwabahkejadian japanese encephalitis bal berita media daring australia kabar indonesia hadap tingkat sakit japanese encephalitis je bal acu berita tiga media daring situs travel warning australia,0
juni tibatiba libur juni tibatiba libur okt sakti pancasila tibatiba hilang kalender,1
hubung intim malam jumat sunah rasul hubung intim malam jumat sunah rasul,1
perintah naik harga bbm biaya stnk biaya bpkb perintah naik harga bbm pajak kendara motor stnk bpkb naik,1
remaja tewas main game jam sd sekira wib salah rumah jln mustika bumi sooko permai bsp lantai dua pakai game on line main game on line tinggal dunia,1
minoritas muslim siksa otoritas militer myanmar nasib generasi muda minoritas muslim myanmar aniaya siksa agama islam hadir acara halaqoh takhfidzul alquranul karim bajar peristiwa yg keri timpa negeri kapir kuasa habis riwayat akibat genosida buat,1
ular raksasa dalam kalimantan an aerial photograph that appears to show a gigantic snake swimming along the remote waterway has emerged sparking great concern among local communities,1
ganja tangkal covid profdr musri masman msc teliti ganja aceh  ganja tangkal corona  covidindonesia teungkujamaica,1
video rapat angkat tenaga honorer pns alhamdulillah putus menpan baru februari honorer pk pegawai non pns angkat pns minmal kerja,1
tradisi bersih makam thailand kelompok orang thailand konsumsi daging orang nigeria bersamasama,1
alfamart sumbang kupon bantu lawan covid alfamart  sumbang kupon gratis nila rp bantu lawan covid ambil voucher,1
spdp prabowo subianto sangka makar surat pemberitahuan lidi spdp prabowo sangka makar ,1
guna salah video post jadi dmedan tni au siksa cina kturunan  jadi dmedan tni au siksa cina kturunan sipelaku tangkap ,1
call breathing call breathing,0
ubah suara hitung kpu oleh suara aniessandi kurang suara ubah suara hitung kpu oleh suara aniessandi kurang suara,1
uap air panas bunuh virus corona pakarpakar cina kesah nafas dg uap air bunuh virus corona paruparu tekak hidung virus tolak unsur suhu uap air hangat silah coba sebar info luas jaring medsos,1
video hasil operasi usus buntu penuh boba hasil operasi usus buntu dapat bubble tea yg hancur  xi bo ba  kurang kunsumsi bubble tea lambat,1
jalan tol masjid ibadah rubuh jalan tol masjid ibadah rubuh nggk tau masjid sodaqah amal jairiyah nya umat bangun uang umat,1
foto surat blokir rekening edar bca angkat bicara senior vice president corporate communicatiobs bca dwi arini  kait edar surat pemberitahuan blokir rekening data valid informasi keluar pt bank central asia tbk ,0
pulau natuna caplok china perintah diam natuna caplok china media yg abal andal clickbait drpada recheck sengaja judul d bombastis sexy yg click,1
gambar jokowi manah sunti ahok artikel cnbc indonesia otaq otaq nyawa rakyat klinci coba kalo binatang sih gpp,1
tugas pintu tol bekas tolak transaksi uang tunai tugas pintu tol bekas tolak transaksi uang tunai,1
jj rizal bantah tim timbang monas jj rizal ban nama masuk tim timbang monas surat angkat perintah provinsi dki jakarta,1
imigran china sengaja bawa virus tuju basmi rakyat imigran cn sengaja bawa virus sunti anti bodi tubuh tuju basmi rakyat bukti satu warga cn kena virus corona indonesia,1
ketik gratula akaun facebook dlm selamat terbaiklamark zuckerberg ketua pegawai eksekutif facebook cipta kata gratula akaun facebook dlm selamat taip gratula komen merahakaun selamatjika tukar warna merah sila tukar lalu facebook andaakaun hack congratulations kpd yg warna merah,0
fbi menggrebek sinagoge yahudi new york orang yahudi sembunyi ribu masker fbi menggrebek sinagoge ibadah yahudi new york orang yahudi sembunyi ribu masker rumah sakit masker jenis n moral kenal zaman kuno,1
polisi aniaya korban mahasiswa sajatapi coba lihat vidio polisi jg aniaya pukul spt itu jgn nilai satu sisi adil,1
masjid bakar masjid bakar islam komen aamiin ya allah selamat rumah api aamiin bagi grup doa,1
sumbat usus konsumsi mie spaghetti singkir dokter operasi video ambil dr harish shukla apollo hospitals beliau sistem cerna usus cerna makan jenis mie spaghetti  sumbat usus konsumsi mie spaghetti singkir dokter operasi takut,1
orang maling terjun wilayah tanggung waspada level awas malam kabar maling orang semarang sebar wilayah tanggung waspada berita hoax ya,0
kemarin perintah putus larang mudik lebaran perintah putus larang mudik lebaran,1
pakai masker yg kelirutermasuk,1
tulis prof dr tina afiatin mpsi pokemon go prof dr tina afiatin mpsi dekan fakultas psikologi ugm ancam serius game pokemon go dunia booming injeksi  bodoh  nama aplikasi game pokemon go,1
dpr bantah umum terima taa saa informasi atas hoax setjen bk dpr ri keluar umum informasi umum resmi terima ta saa dpr ri umum web resmi dpr ri,1
tagor nainggolan cecunguk jongos luhut banser panjaitan tagor nainggolan cecunguk jongos luhut banser panjaitan tagor ketua asosiasi angkot yg lantang kritik bijak gubernur anies sandi si jago komen  pki  tegak hukum nih polisi pade kemane nih jawab polisi nihhpolisi meeting james riyadi lippogroupuntuk menang calon gubernur pkiehh maafpdip pilkada jabar ide status via umca editor  hsz,1
dirut garuda ari askhara anggota bin informasi eks direktur utama garuda i gusti ngurah askhara danadiputra ari askhara anggota bin badan intelijen negara,1
polisi desersi jebak huni rumah narkotika kemarin jam wib shock dengkul lemes tibatiba datang tamu orang,1
foto barack obama anthony fauci melinda gates unjung pabrik coronavirus laboratorium cina wuhan foto gambar laboratorium cina wuhan barack obama anthony fauci melinda gates unjung  pabrik virus  periksa maju teliti coronavirus,1
destinasi wisata jogja tutup tgl maret destinasi wisata jogja tutup dr tgl sd maret,1
hasil buntung tangan buntung tugas  situng  kpu hitung dasar pesan hasil buntung tangan buntung,1
klarifikasi video viral polisi tendang muka ibuibu  polisi hebat yg hajar buah mini market gara  hp anak senggol anak tsb pecah mudah  n oknum polisi temu jalan ,1
satanisme buah suntik darah kandung hiv ingat buahbuahan yg d dlam  y kandung warna aneh merah dalam d makan kelompok orang suntik buah darah kandung hiv aids tuju bunuh juta orang dunia satanisme share km peduli ya,1
foto bayar pdip ribu suruh demo balaikota modyar virus corono udh smpe t inter be safe guys ,1
tuju tuju jajah apel siaga pdip  tuju   tuju jajah  apel siaga pdip,1
wapres rakyat bayar iur naik bpjs dosa turun ampun wapres rakyat bayar iur naik bpjs dosa turun ampun,1
foto post presiden chechnya dukung prabowo sandi presiden chechnya dukung prabowo sandikereeeennn,1
garam masak racun garam masak masak salah banyak orang indonesia masak garam masuk garam masakan masakan didih panas sebab garam rcuntoksik garam masak garam sebab asid membhayakan sehat undang sakit kandung yodium garam hilang yodium manfaat sehat tubuh,1
depan mata badan tegap potong tentara bahasa mandarin depan matabadan tegap potong tentaraberbahasa mandarinmereka kumpul pintu kedatangansedang bagi kartu ukur ktp bungkus kerta putih org lokal yg baju batik coklatketika sy ambil bbrp gambar mrk curiga bagi kartu laku tempat,1
bongkar bandara indonesia jalan masuk emigran china bongkar bandara indonesia jalan masuk emigran china rahasia rezim jokowi serang virus corona mati masuk indonesia emigran china bandara wilayah indonesia ikat dokter indonesia idi rilis bandara tahu papar virus corona rahasia perintah,1
sebut adzan video wawancara selamat thailand mention of adzan in interview video by a rescuer in thailand proses evakuasi orang remaja orang guru yg hilang jebak gua batas thailand myanmar,1
bakar bendera pdip kaos gambar banteng go publik arab saudi bakar bendera pdip kaos gambar banteng go publik hadir arab saudi,1
pakar it video porno dpr rekayasa pakar it video porno dpr rekayasa,1
presiden jokowi fadli zon kritik utang perintah dpr ri dprd bubar presiden jokowi fadli zon kritik utang perintah dpr ri dprd bubar indonesia hemat ratus triliun indonesia tambah negara maju,0
video pusat judi besar arab saudi arabia astagfirullahal  azim mari bersamasama lindung allah swt ini pusat judi besar arab saudi arabia resmi jeddah fatwa mufti wahaby khiamatsemakindekat,1
anis nyimak dengar keluh warga yg dampak utang anis nyimak dengar keluh warga yg dampak utang,1
foto gambar pandang anak zaman anake sopo iki pinter tenan lek gambar pandang anak pintar gambar pandang,1
viral botol minum ledak klarifikasi floridina product manager floridina devi chrisnatalia floridina minum sifat asam potensi ledak botol minum buka ikut anjur simpan devi informasi kemas botol floridina habis minum jam buka minum buka simpan lemari es,0
tanding liga psis semarang vs baya selenggara tonton panitia laksana tanding psis unggah berita mohon suporter makan kabar panpel jual tiket menghimbau suporter psis baya saksi tanding tayang langsung indosiar psis,0
suasana kali sunter aniesdimana suasana kali sunter pos kotatrus gubernur pimpin ngapain aniesdimana,1
datang tka model rambut cepak datang tka model rambut cepak batam suta tunggu ektp vidio tata pilih paslon presiden bahasa mandarin,1
tragis biksu tewas serang buaya kejar tembak ungsi rohingya etnis rohingya lari bangladesh peluang selamat tewas besar sungai naf teluk benggala arus deras penuh buaya tambah kejar berondong peluru militer biksu ikut wirathu,1
awas hatihati semprot fpi virus corona awas hati dimsemprotkan fpi virus corona,1
lapor who corona virus tahan lapis kubis dengar lapor who corona virus tahan lapis kubis virus tinggal jam kubis virus jam,1
cek fakta presiden turki erdogan aku menang jokowi pilpres erdogan aku menang jokowi,1
laetrile alias amygdalin vitamin b satusatunya obat sembuh kanker tahu sakit kanker kanker timbul kurang vitamin b sebab,1
pasien kanker lempar uang koridor rumah sakit harta poto ambil rumah sakit habrintiongkokseorang pasien kanker bawa tas penuh uang dokter selamat hidup uang bayar dokter bilang apa kanker stadium akhirdia marah frustasi lempar uang koridor rumah sakit teriak  guna milik uang guna milik uang uang beli kesehatanuang beli waktuuang beli hidup sungguh ajar selau jaga sehat amal baik bekal akhirat berdoasupaya umur manfaat orang pendek,1
monas bundar hi dasyat buka gbk monas bundar hi masyarakat optimis masyarakat indonesia bubar masyarakat lanjut hasil kerja keras yg selsai masyarakat indonesia no  kasih kendor gas pol indonesia maju,1
tips hindar informasi berita palsu informasi berita palsu sebar luas sumber hindar informasi salah hindar informasi berita palsu,0
dki jakarta besok lock down warga jakarta boleh masuk kecuali izin polisi dki jakarta besok lock down warga jakarta boleh masuk kecuali izin polisi,1
tips nyaring hoax media sosial tips ampuh nyaring hoax media sosial bagi  baca judul  baca narasi postingannya lihat alamat urlnya  lihat nama tulis susun tim redaksi  isi artikel portal bagi jalan narasi postingan judul sumber tulis,0
